2026-05-08 00:16:58 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:17:00 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:17:00 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:17:00 | INFO | app.camera.manager | Motion snapshot saved
2026-05-08 00:17:00 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:17:01 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:17:01 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:17:01 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:17:01 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:17:02 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:17:02 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:17:02 | INFO | app.camera.manager | Motion snapshot saved
2026-05-08 00:17:03 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:17:03 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:17:03 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:17:03 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:17:04 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:17:04 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:17:05 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:17:06 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:17:06 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:17:07 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:17:08 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:17:08 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:17:08 | INFO | app.camera.manager | Motion snapshot saved
2026-05-08 00:17:08 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:17:09 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:17:09 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:17:09 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:17:09 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:17:10 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:17:10 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:17:10 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:17:10 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:17:10 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:17:10 | INFO | app.camera.manager | Motion snapshot saved
2026-05-08 00:17:10 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:17:10 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:17:11 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:17:11 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:17:11 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:17:11 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:17:11 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:17:11 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:17:11 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:17:11 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:17:12 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:17:12 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:17:12 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:17:13 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:17:14 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:17:14 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:17:15 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:17:16 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:17:16 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:17:17 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:17:18 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:17:19 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:17:19 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:17:20 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:17:21 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:17:21 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:17:23 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:17:23 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:17:23 | INFO | app.camera.manager | Motion snapshot saved
